DATE,AAA
1962-01-01,4.39
1962-04-01,4.28
1962-07-01,4.32
1962-10-01,4.24
1963-01-01,4.19
1963-04-01,4.23
1963-07-01,4.31
1963-10-01,4.35
1964-01-01,4.38
1964-04-01,4.41
1964-07-01,4.42
1964-10-01,4.44
1965-01-01,4.42
1965-04-01,4.46
1965-07-01,4.52
1965-10-01,4.68
1966-01-01,4.92
1966-04-01,5.07
1966-07-01,5.49
1966-10-01,5.39
1967-01-01,5.13
1967-04-01,5.44
1967-07-01,5.65
1967-10-01,6.19
1968-01-01,6.11
1968-04-01,6.28
1968-07-01,5.97
1968-10-01,6.45
1969-01-01,6.85
1969-04-01,6.98
1969-07-01,7.14
1969-10-01,7.72
1970-01-01,7.84
1970-04-01,8.48
1970-07-01,8.09
1970-10-01,7.64
1971-01-01,7.21
1971-04-01,7.64
1971-07-01,7.44
1971-10-01,7.25
1972-01-01,7.24
1972-04-01,7.23
1972-07-01,7.22
1972-10-01,7.08
1973-01-01,7.29
1973-04-01,7.37
1973-07-01,7.63
1973-10-01,7.68
1974-01-01,8.01
1974-04-01,8.47
1974-07-01,9.24
1974-10-01,8.89
1975-01-01,8.67
1975-04-01,8.77
1975-07-01,8.95
1975-10-01,8.79
1976-01-01,8.52
1976-04-01,8.62
1976-07-01,8.38
1976-10-01,7.98
1977-01-01,8.10
1977-04-01,7.95
1977-07-01,7.92
1977-10-01,8.19
1978-01-01,8.47
1978-04-01,8.76
1978-07-01,8.69
1978-10-01,9.16
1979-01-01,9.37
1979-04-01,9.29
1979-07-01,9.44
1979-10-01,10.74
1980-01-01,12.96
1980-04-01,10.58
1980-07-01,12.02
1980-10-01,13.21
1981-01-01,13.33
1981-04-01,13.75
1981-07-01,15.49
1981-10-01,14.23
1982-01-01,14.58
1982-04-01,14.81
1982-07-01,12.94
1982-10-01,11.83
1983-01-01,11.73
1983-04-01,11.74
1983-07-01,12.37
1983-10-01,12.57
1984-01-01,12.57
1984-04-01,13.55
1984-07-01,12.66
1984-10-01,12.13
1985-01-01,12.56
1985-04-01,10.94
1985-07-01,11.07
1985-10-01,10.16
1986-01-01,9.00
1986-04-01,9.13
1986-07-01,8.89
1986-10-01,8.49
1987-01-01,8.36
1987-04-01,9.32
1987-07-01,10.18
1987-10-01,10.11
1988-01-01,9.39
1988-04-01,9.86
1988-07-01,9.82
1988-10-01,9.57
1989-01-01,9.80
1989-04-01,9.10
1989-07-01,9.01
1989-10-01,8.86
1990-01-01,9.37
1990-04-01,9.26
1990-07-01,9.56
1990-10-01,9.05
1991-01-01,8.93
1991-04-01,9.01
1991-07-01,8.61
1991-10-01,8.31
1992-01-01,8.35
1992-04-01,8.22
1992-07-01,7.92
1992-10-01,7.98
1993-01-01,7.58
1993-04-01,7.33
1993-07-01,6.66
1993-10-01,6.93
1994-01-01,7.48
1994-04-01,7.97
1994-07-01,8.34
1994-10-01,8.46
1995-01-01,8.12
1995-04-01,7.30
1995-07-01,7.32
1995-10-01,6.82
1996-01-01,7.35
1996-04-01,7.71
1996-07-01,7.66
1996-10-01,7.20
1997-01-01,7.55
1997-04-01,7.41
1997-07-01,7.15
1997-10-01,6.76
1998-01-01,6.72
1998-04-01,6.53
1998-07-01,6.40
1998-10-01,6.22
1999-01-01,6.62
1999-04-01,7.23
1999-07-01,7.39
1999-10-01,7.55
2000-01-01,7.68
2000-04-01,7.67
2000-07-01,7.62
2000-10-01,7.21
2001-01-01,6.98
2001-04-01,7.18
2001-07-01,7.17
2001-10-01,6.77
2002-01-01,6.81
2002-04-01,6.63
2002-07-01,6.15
2002-10-01,6.21
2003-01-01,5.89
2003-04-01,4.97
2003-07-01,5.72
2003-10-01,5.62
2004-01-01,5.33
2004-04-01,6.01
2004-07-01,5.46
2004-10-01,5.47
2005-01-01,5.40
2005-04-01,4.96
2005-07-01,5.13
2005-10-01,5.37
2006-01-01,5.53
2006-04-01,5.89
2006-07-01,5.51
2006-10-01,5.32
2007-01-01,5.30
2007-04-01,5.79
2007-07-01,5.74
2007-10-01,5.49
2008-01-01,5.51
2008-04-01,5.68
2008-07-01,5.65
2008-10-01,5.05
2009-01-01,5.50
2009-04-01,5.61
2009-07-01,5.13
2009-10-01,5.26
2010-01-01,5.27
2010-04-01,4.88
2010-07-01,4.53
2010-10-01,5.02
2011-01-01,5.13
2011-04-01,4.99
2011-07-01,4.09
2011-10-01,3.93
2012-01-01,3.99
2012-04-01,3.64
2012-07-01,3.49
2012-10-01,3.65
2013-01-01,3.93
2013-04-01,4.27
2013-07-01,4.64
2013-10-01,4.62
2014-01-01,4.38
2014-04-01,4.25
2014-07-01,4.11
2014-10-01,3.79
2015-01-01,3.64
2015-04-01,4.19
2015-07-01,4.07
2015-10-01,3.97
2016-01-01,3.82
2016-04-01,3.50
2016-07-01,3.41
2016-10-01,4.06
2017-01-01,4.01
2017-04-01,3.68
2017-07-01,3.63
2017-10-01,3.51
2018-01-01,3.87
2018-04-01,3.96
2018-07-01,3.98
2018-10-01,4.02
2019-01-01,3.77
2019-04-01,3.42
2019-07-01,3.03
2019-10-01,3.01
2020-01-01,3.02
2020-04-01,2.44
2020-07-01,2.31
2020-10-01,2.26
2021-01-01,3.04
2021-04-01,2.79
2021-07-01,2.53
2021-10-01,2.65
2022-01-01,3.43
