DATE,BAMLC0A4CBBBEY
2000-07-01,8.13
2000-10-01,7.97
2001-01-01,7.35
2001-04-01,7.35
2001-07-01,6.85
2001-10-01,6.99
2002-01-01,7.52
2002-04-01,7.13
2002-07-01,6.72
2002-10-01,6.00
2003-01-01,5.64
2003-04-01,4.78
2003-07-01,4.90
2003-10-01,4.92
2004-01-01,4.59
2004-04-01,5.46
2004-07-01,4.99
2004-10-01,5.07
2005-01-01,5.68
2005-04-01,5.24
2005-07-01,5.58
2005-10-01,5.66
2006-01-01,6.07
2006-04-01,6.44
2006-07-01,5.96
2006-10-01,5.98
2007-01-01,5.91
2007-04-01,6.29
2007-07-01,6.23
2007-10-01,6.28
2008-01-01,6.47
2008-04-01,6.76
2008-07-01,7.89
2008-10-01,9.67
2009-01-01,9.43
2009-04-01,7.21
2009-07-01,5.77
2009-10-01,5.58
2010-01-01,5.13
2010-04-01,4.98
2010-07-01,4.33
2010-10-01,4.72
2011-01-01,4.67
2011-04-01,4.47
2011-07-01,4.60
2011-10-01,4.55
2012-01-01,4.12
2012-04-01,4.03
2012-07-01,3.48
2012-10-01,3.33
2013-01-01,3.37
2013-04-01,4.06
2013-07-01,4.03
2013-10-01,3.94
2014-01-01,3.71
2014-04-01,3.42
2014-07-01,3.63
2014-10-01,3.81
2015-01-01,3.47
2015-04-01,3.88
2015-07-01,4.12
2015-10-01,4.42
2016-01-01,3.86
2016-04-01,3.44
2016-07-01,3.3
2016-10-01,3.8
2017-01-01,3.73
2017-04-01,3.57
2017-07-01,3.51
2017-10-01,3.59
2018-01-01,4.10
2018-04-01,4.41
2018-07-01,4.43
2018-10-01,4.69
2019-01-01,4.05
2019-04-01,3.56
2019-07-01,3.30
2019-10-01,3.19
2020-01-01,4.59
2020-04-01,2.68
2020-07-01,2.44
2020-10-01,2.06
2021-01-01,2.55
2021-04-01,2.28
2021-07-01,2.38
2021-10-01,2.60
2022-01-01,3.89
