DATE,CPIAUCSL_PC1
2000-07-01,3.45650
2000-10-01,3.43602
2001-01-01,2.98246
2001-04-01,3.19396
2001-07-01,2.59217
2001-10-01,1.60367
2002-01-01,1.36286
2002-04-01,1.06922
2002-07-01,1.51600
2002-10-01,2.48027
2003-01-01,3.02521
2003-04-01,1.94878
2003-07-01,2.37832
2003-10-01,2.03520
2004-01-01,1.74008
2004-04-01,3.16767
2004-07-01,2.53917
2004-10-01,3.34232
2005-01-01,3.20684
2005-04-01,2.54103
2005-07-01,4.74183
2005-10-01,3.33855
2006-01-01,3.41792
2006-04-01,4.18172
2006-07-01,2.01207
2006-10-01,2.52398
2007-01-01,2.79820
2007-04-01,2.69277
2007-07-01,2.83383
2007-10-01,4.10881
2008-01-01,3.97490
2008-04-01,4.93597
2008-07-01,4.95332
2008-10-01,-0.02223
2009-01-01,-0.44648
2009-04-01,-1.22917
2009-07-01,-1.37794
2009-10-01,2.81412
2010-01-01,2.28617
2010-04-01,1.12156
2010-07-01,1.11831
2010-10-01,1.43779
2011-01-01,2.61924
2011-04-01,3.50232
2011-07-01,3.81262
2011-10-01,3.06207
2012-01-01,2.58288
2012-04-01,1.65387
2012-07-01,1.94972
2012-10-01,1.75950
2013-01-01,1.51875
2013-04-01,1.71579
2013-07-01,1.09473
2013-10-01,1.51284
2014-01-01,1.61269
2014-04-01,2.05898
2014-07-01,1.68405
2014-10-01,0.65312
2015-01-01,-0.02203
2015-04-01,0.17957
2015-07-01,0.00884
2015-10-01,0.63872
2016-01-01,0.89162
2016-04-01,1.07929
2016-07-01,1.54864
2016-10-01,2.05080
2017-01-01,2.44120
2017-04-01,1.64057
2017-07-01,2.18057
2017-10-01,2.12993
2018-01-01,2.33259
2018-04-01,2.84851
2018-07-01,2.35518
2018-10-01,1.91522
2019-01-01,1.87995
2019-04-01,1.68964
2019-07-01,1.72733
2019-10-01,2.26172
2020-01-01,1.53064
2020-04-01,0.72681
2020-07-01,1.40065
2020-10-01,1.27815
2021-01-01,2.65838
2021-04-01,5.34102
2021-07-01,5.38991
2021-10-01,7.09654
2022-01-01,8.55759
2022-04-01,.
