DATE,DGS10
1962-01-01,3.86
1962-04-01,4.00
1962-07-01,3.94
1962-10-01,3.85
1963-01-01,3.95
1963-04-01,4.00
1963-07-01,4.07
1963-10-01,4.14
1964-01-01,4.23
1964-04-01,4.15
1964-07-01,4.18
1964-10-01,4.21
1965-01-01,4.20
1965-04-01,4.20
1965-07-01,4.35
1965-10-01,4.65
1966-01-01,4.71
1966-04-01,4.97
1966-07-01,5.02
1966-10-01,4.64
1967-01-01,4.50
1967-04-01,5.22
1967-07-01,5.31
1967-10-01,5.70
1968-01-01,5.76
1968-04-01,5.64
1968-07-01,5.49
1968-10-01,6.16
1969-01-01,6.30
1969-04-01,6.73
1969-07-01,7.51
1969-10-01,7.88
1970-01-01,7.08
1970-04-01,7.68
1970-07-01,7.29
1970-10-01,6.50
1971-01-01,5.53
1971-04-01,6.70
1971-07-01,6.00
1971-10-01,5.89
1972-01-01,6.12
1972-04-01,6.15
1972-07-01,6.54
1972-10-01,6.41
1973-01-01,6.73
1973-04-01,6.94
1973-07-01,6.90
1973-10-01,6.90
1974-01-01,7.41
1974-04-01,7.64
1974-07-01,7.94
1974-10-01,7.40
1975-01-01,8.01
1975-04-01,7.96
1975-07-01,8.48
1975-10-01,7.76
1976-01-01,7.66
1976-04-01,7.86
1976-07-01,7.55
1976-10-01,6.81
1977-01-01,7.42
1977-04-01,7.20
1977-07-01,7.41
1977-10-01,7.78
1978-01-01,8.15
1978-04-01,8.62
1978-07-01,8.56
1978-10-01,9.15
1979-01-01,9.11
1979-04-01,8.81
1979-07-01,9.44
1979-10-01,10.33
1980-01-01,12.64
1980-04-01,10.09
1980-07-01,11.86
1980-10-01,12.43
1981-01-01,13.13
1981-04-01,13.86
1981-07-01,15.84
1981-10-01,13.98
1982-01-01,14.18
1982-04-01,14.44
1982-07-01,11.73
1982-10-01,10.36
1983-01-01,10.62
1983-04-01,10.96
1983-07-01,11.44
1983-10-01,11.82
1984-01-01,12.53
1984-04-01,13.84
1984-07-01,12.47
1984-10-01,11.55
1985-01-01,11.65
1985-04-01,10.25
1985-07-01,10.31
1985-10-01,9.00
1986-01-01,7.39
1986-04-01,7.35
1986-07-01,7.45
1986-10-01,7.23
1987-01-01,7.51
1987-04-01,8.38
1987-07-01,9.63
1987-10-01,8.83
1988-01-01,8.57
1988-04-01,8.82
1988-07-01,8.87
1988-10-01,9.14
1989-01-01,9.30
1989-04-01,8.10
1989-07-01,8.31
1989-10-01,7.93
1990-01-01,8.65
1990-04-01,8.43
1990-07-01,8.82
1990-10-01,8.08
1991-01-01,8.05
1991-04-01,8.24
1991-07-01,7.47
1991-10-01,6.71
1992-01-01,7.54
1992-04-01,7.14
1992-07-01,6.37
1992-10-01,6.70
1993-01-01,6.03
1993-04-01,5.80
1993-07-01,5.40
1993-10-01,5.83
1994-01-01,6.77
1994-04-01,7.34
1994-07-01,7.62
1994-10-01,7.84
1995-01-01,7.20
1995-04-01,6.21
1995-07-01,6.17
1995-10-01,5.58
1996-01-01,6.34
1996-04-01,6.73
1996-07-01,6.72
1996-10-01,6.43
1997-01-01,6.92
1997-04-01,6.51
1997-07-01,6.12
1997-10-01,5.75
1998-01-01,5.67
1998-04-01,5.44
1998-07-01,4.44
1998-10-01,4.65
1999-01-01,5.25
1999-04-01,5.81
1999-07-01,5.90
1999-10-01,6.45
2000-01-01,6.03
2000-04-01,6.03
2000-07-01,5.80
2000-10-01,5.12
2001-01-01,4.93
2001-04-01,5.42
2001-07-01,4.60
2001-10-01,5.07
2002-01-01,5.42
2002-04-01,4.86
2002-07-01,3.63
2002-10-01,3.83
2003-01-01,3.83
2003-04-01,3.54
2003-07-01,3.96
2003-10-01,4.27
2004-01-01,3.86
2004-04-01,4.62
2004-07-01,4.14
2004-10-01,4.24
2005-01-01,4.50
2005-04-01,3.94
2005-07-01,4.34
2005-10-01,4.39
2006-01-01,4.86
2006-04-01,5.15
2006-07-01,4.64
2006-10-01,4.71
2007-01-01,4.65
2007-04-01,5.03
2007-07-01,4.59
2007-10-01,4.04
2008-01-01,3.45
2008-04-01,3.99
2008-07-01,3.85
2008-10-01,2.25
2009-01-01,2.71
2009-04-01,3.53
2009-07-01,3.31
2009-10-01,3.85
2010-01-01,3.84
2010-04-01,2.97
2010-07-01,2.53
2010-10-01,3.30
2011-01-01,3.47
2011-04-01,3.18
2011-07-01,1.92
2011-10-01,1.89
2012-01-01,2.23
2012-04-01,1.67
2012-07-01,1.65
2012-10-01,1.78
2013-01-01,1.87
2013-04-01,2.52
2013-07-01,2.64
2013-10-01,3.04
2014-01-01,2.73
2014-04-01,2.53
2014-07-01,2.52
2014-10-01,2.17
2015-01-01,1.94
2015-04-01,2.35
2015-07-01,2.06
2015-10-01,2.27
2016-01-01,1.78
2016-04-01,1.49
2016-07-01,1.60
2016-10-01,2.45
2017-01-01,2.40
2017-04-01,2.31
2017-07-01,2.33
2017-10-01,2.40
2018-01-01,2.74
2018-04-01,2.85
2018-07-01,3.05
2018-10-01,2.69
2019-01-01,2.41
2019-04-01,2.00
2019-07-01,1.68
2019-10-01,1.92
2020-01-01,0.70
2020-04-01,0.66
2020-07-01,0.69
2020-10-01,0.93
2021-01-01,1.74
2021-04-01,1.45
2021-07-01,1.52
2021-10-01,1.52
2022-01-01,2.32
