DATE,FGEXPND_PC1
1962-01-01,9.78344
1962-04-01,7.62818
1962-07-01,8.77395
1962-10-01,8.90023
1963-01-01,5.81773
1963-04-01,3.94545
1963-07-01,4.07336
1963-10-01,4.40262
1964-01-01,5.09562
1964-04-01,6.01260
1964-07-01,3.82340
1964-10-01,1.76640
1965-01-01,1.80346
1965-04-01,3.47014
1965-07-01,8.92460
1965-10-01,11.97070
1966-01-01,13.42348
1966-04-01,15.85589
1966-07-01,14.21676
1966-10-01,15.00873
1967-01-01,19.00908
1967-04-01,15.28705
1967-07-01,12.99768
1967-10-01,12.42743
1968-01-01,9.48993
1968-04-01,11.87966
1968-07-01,12.14696
1968-10-01,11.23444
1969-01-01,6.09865
1969-04-01,6.15632
1969-07-01,7.27223
1969-10-01,7.83115
1970-01-01,10.94967
1970-04-01,12.89313
1970-07-01,11.81247
1970-10-01,10.97334
1971-01-01,11.70475
1971-04-01,10.35210
1971-07-01,8.61306
1971-10-01,8.86588
1972-01-01,11.03552
1972-04-01,10.15414
1972-07-01,7.27714
1972-10-01,15.18553
1973-01-01,9.34764
1973-04-01,7.40021
1973-07-01,10.23845
1973-10-01,2.62781
1974-01-01,6.72338
1974-04-01,9.43868
1974-07-01,13.08524
1974-10-01,15.52667
1975-01-01,17.19855
1975-04-01,20.09075
1975-07-01,16.84430
1975-10-01,14.73250
1976-01-01,11.28935
1976-04-01,4.77778
1976-07-01,7.48841
1976-10-01,7.34080
1977-01-01,6.81310
1977-04-01,8.37130
1977-07-01,8.70808
1977-10-01,9.56877
1978-01-01,11.28616
1978-04-01,11.59467
1978-07-01,11.07296
1978-10-01,10.49543
1979-01-01,9.28298
1979-04-01,9.27309
1979-07-01,10.41784
1979-10-01,10.89582
1980-01-01,14.07880
1980-04-01,16.39978
1980-07-01,17.79492
1980-10-01,17.47618
1981-01-01,16.50770
1981-04-01,14.29372
1981-07-01,12.83595
1981-10-01,12.35148
1982-01-01,10.78027
1982-04-01,10.32832
1982-07-01,10.02889
1982-10-01,12.17630
1983-01-01,10.33991
1983-04-01,11.06946
1983-07-01,8.78074
1983-10-01,3.74853
1984-01-01,5.22529
1984-04-01,5.31497
1984-07-01,5.78630
1984-10-01,9.79735
1985-01-01,8.81818
1985-04-01,7.66962
1985-07-01,7.69519
1985-10-01,5.59194
1986-01-01,5.81433
1986-04-01,6.87057
1986-07-01,6.87134
1986-10-01,4.62391
1987-01-01,3.74161
1987-04-01,2.71144
1987-07-01,1.18005
1987-10-01,4.54617
1988-01-01,6.01043
1988-04-01,4.49489
1988-07-01,5.27402
1988-10-01,5.68631
1989-01-01,5.70134
1989-04-01,7.70148
1989-07-01,8.16753
1989-10-01,6.74406
1990-01-01,7.69467
1990-04-01,7.81313
1990-07-01,6.97793
1990-10-01,7.17666
1991-01-01,1.59389
1991-04-01,4.51141
1991-07-01,6.75144
1991-10-01,7.25051
1992-01-01,13.81632
1992-04-01,9.72400
1992-07-01,8.24049
1992-10-01,7.67860
1993-01-01,4.38669
1993-04-01,3.80746
1993-07-01,3.48156
1993-10-01,3.31829
1994-01-01,2.00970
1994-04-01,2.29686
1994-07-01,2.95421
1994-10-01,3.17750
1995-01-01,5.76628
1995-04-01,5.83878
1995-07-01,4.64214
1995-10-01,2.65501
1996-01-01,3.57435
1996-04-01,3.13745
1996-07-01,2.64645
1996-10-01,4.18901
1997-01-01,2.08768
1997-04-01,2.59268
1997-07-01,2.50224
1997-10-01,2.97839
1998-01-01,1.84582
1998-04-01,1.48470
1998-07-01,1.73842
1998-10-01,1.54854
1999-01-01,2.44223
1999-04-01,1.96699
1999-07-01,3.05652
1999-10-01,3.34171
2000-01-01,2.99781
2000-04-01,5.04601
2000-07-01,4.09135
2000-10-01,3.39396
2001-01-01,6.23252
2001-04-01,4.97400
2001-07-01,6.20687
2001-10-01,5.49867
2002-01-01,5.48984
2002-04-01,6.31894
2002-07-01,5.43475
2002-10-01,6.81005
2003-01-01,6.15802
2003-04-01,7.96799
2003-07-01,7.50193
2003-10-01,7.30001
2004-01-01,7.24140
2004-04-01,4.36889
2004-07-01,5.15985
2004-10-01,5.62542
2005-01-01,7.01286
2005-04-01,7.42735
2005-07-01,7.76249
2005-10-01,7.01799
2006-01-01,7.07079
2006-04-01,6.60798
2006-07-01,6.05128
2006-10-01,5.28666
2007-01-01,5.17348
2007-04-01,5.67887
2007-07-01,6.12488
2007-10-01,7.23533
2008-01-01,6.07101
2008-04-01,16.94374
2008-07-01,8.43220
2008-10-01,6.72182
2009-01-01,9.17503
2009-04-01,3.74454
2009-07-01,10.60680
2009-10-01,11.51796
2010-01-01,11.67045
2010-04-01,6.27125
2010-07-01,7.34622
2010-10-01,6.99831
2011-01-01,2.71415
2011-04-01,2.76746
2011-07-01,-0.22690
2011-10-01,-0.61071
2012-01-01,-0.96813
2012-04-01,-1.98713
2012-07-01,-0.17273
2012-10-01,-0.45060
2013-01-01,-0.38054
2013-04-01,0.11933
2013-07-01,-0.08429
2013-10-01,0.11649
2014-01-01,1.61928
2014-04-01,2.65459
2014-07-01,4.21516
2014-10-01,4.12845
2015-01-01,4.00413
2015-04-01,2.97615
2015-07-01,2.08461
2015-10-01,3.18353
2016-01-01,2.91849
2016-04-01,2.76798
2016-07-01,3.44529
2016-10-01,3.05149
2017-01-01,2.53914
2017-04-01,2.32862
2017-07-01,2.61744
2017-10-01,3.59036
2018-01-01,5.01531
2018-04-01,6.34555
2018-07-01,6.07793
2018-10-01,6.21512
2019-01-01,6.53418
2019-04-01,6.12549
2019-07-01,5.93947
2019-10-01,4.92060
2020-01-01,4.63356
2020-04-01,92.15907
2020-07-01,50.45972
2020-10-01,23.45544
2021-01-01,64.41446
2021-04-01,-17.74758
2021-07-01,-8.96970
2021-10-01,0.13917
2022-01-01,-28.23332
