DATE,GDPC1_PC1
1962-01-01,7.56728
1962-04-01,6.72769
1962-07-01,6.00401
1962-10-01,4.30710
1963-01-01,3.59787
1963-04-01,3.82216
1963-07-01,4.81693
1963-10-01,5.15824
1964-01-01,6.21582
1964-04-01,6.18075
1964-07-01,5.51983
1964-10-01,5.15634
1965-01-01,5.47714
1965-04-01,5.65928
1965-07-01,6.34690
1965-10-01,8.46216
1966-01-01,8.47750
1966-04-01,7.49014
1966-07-01,6.04287
1966-10-01,4.50502
1967-01-01,2.92504
1967-04-01,2.63752
1967-07-01,2.73849
1967-10-01,2.67084
1968-01-01,3.84521
1968-04-01,5.51558
1968-07-01,5.33667
1968-10-01,4.95957
1969-01-01,4.47160
1969-04-01,3.06714
1969-07-01,2.95010
1969-10-01,2.04665
1970-01-01,0.32493
1970-04-01,0.16284
1970-07-01,0.42258
1970-10-01,-0.16670
1971-01-01,2.69724
1971-04-01,3.10661
1971-07-01,3.00589
1971-10-01,4.36720
1972-01-01,3.47607
1972-04-01,5.25519
1972-07-01,5.38194
1972-10-01,6.89448
1973-01-01,7.56189
1973-04-01,6.31966
1973-07-01,4.77109
1973-10-01,4.02376
1974-01-01,0.63877
1974-04-01,-0.20842
1974-07-01,-0.62900
1974-10-01,-1.94545
1975-01-01,-2.29905
1975-04-01,-1.83426
1975-07-01,0.79868
1975-10-01,2.55402
1976-01-01,6.15239
1976-04-01,6.17259
1976-07-01,4.95864
1976-10-01,4.31481
1977-01-01,3.22596
1977-04-01,4.46632
1977-07-01,5.77090
1977-10-01,5.01203
1978-01-01,4.11706
1978-04-01,6.07815
1978-07-01,5.24577
1978-10-01,6.65810
1979-01-01,6.50991
1979-04-01,2.65686
1979-07-01,2.38992
1979-10-01,1.28456
1980-01-01,1.42078
1980-04-01,-0.77506
1980-07-01,-1.62380
1980-10-01,-0.03913
1981-01-01,1.59998
1981-04-01,2.96870
1981-07-01,4.32577
1981-10-01,1.29990
1982-01-01,-2.19035
1982-04-01,-1.01057
1982-07-01,-2.55592
1982-10-01,-1.44316
1983-01-01,1.43146
1983-04-01,3.26853
1983-07-01,5.73717
1983-10-01,7.89997
1984-01-01,8.57828
1984-04-01,7.99670
1984-07-01,6.90084
1984-10-01,5.57580
1985-01-01,4.55509
1985-04-01,3.68422
1985-07-01,4.26244
1985-10-01,4.18227
1986-01-01,4.14559
1986-04-01,3.70158
1986-07-01,3.11924
1986-10-01,2.90803
1987-01-01,2.71584
1987-04-01,3.35848
1987-07-01,3.26693
1987-10-01,4.47902
1988-01-01,4.24219
1988-04-01,4.48460
1988-07-01,4.19287
1988-10-01,3.79897
1989-01-01,4.31524
1989-04-01,3.74829
1989-07-01,3.90811
1989-10-01,2.74380
1990-01-01,2.82130
1990-04-01,2.41277
1990-07-01,1.72722
1990-10-01,0.60286
