DATE,PPIACO_PC1
1962-01-01,-0.31447
1962-04-01,0.63898
1962-07-01,1.26984
1962-10-01,0.00000
1963-01-01,-0.63091
1963-04-01,0.31746
1963-07-01,-0.94044
1963-10-01,0.00000
1964-01-01,0.31746
1964-04-01,-0.31646
1964-07-01,0.31646
1964-10-01,0.31646
1965-01-01,0.94937
1965-04-01,2.85714
1965-07-01,2.20820
1965-10-01,3.47003
1966-01-01,4.07524
1966-04-01,2.77778
1966-07-01,3.70370
1966-10-01,1.52439
1967-01-01,0.30120
1967-04-01,0.60060
1967-07-01,-0.59524
1967-10-01,1.20120
1968-01-01,2.40240
1968-04-01,2.08955
1968-07-01,2.99401
1968-10-01,2.67062
1969-01-01,3.22581
1969-04-01,4.38596
1969-07-01,4.06977
1969-10-01,4.91329
1970-01-01,4.26136
1970-04-01,3.36134
1970-07-01,3.63128
1970-10-01,2.20386
1971-01-01,2.99728
1971-04-01,3.52304
1971-07-01,3.23450
1971-10-01,4.04313
1972-01-01,3.70370
1972-04-01,3.92670
1972-07-01,4.96084
1972-10-01,6.47668
1973-01-01,10.71429
1973-04-01,14.60957
1973-07-01,16.16915
1973-10-01,15.32847
1974-01-01,16.58986
1974-04-01,14.28571
1974-07-01,19.70021
1974-10-01,20.88608
1975-01-01,12.45059
1975-04-01,11.53846
1975-07-01,6.26118
1975-10-01,4.18848
1976-01-01,5.44815
1976-04-01,5.51724
1976-07-01,4.04040
1976-10-01,4.69012
1977-01-01,6.83333
1977-04-01,6.20915
1977-07-01,5.66343
1977-10-01,5.92000
1978-01-01,6.24025
1978-04-01,7.69231
1978-07-01,8.72894
1978-10-01,9.81873
1979-01-01,11.30690
1979-04-01,11.42857
1979-07-01,13.94366
1979-10-01,14.71802
1980-01-01,15.43536
1980-04-01,13.71795
1980-07-01,13.34981
1980-10-01,12.47002
1981-01-01,10.85714
1981-04-01,11.04848
1981-07-01,7.74264
1981-10-01,5.33049
1982-01-01,2.68041
1982-04-01,1.52284
1982-07-01,1.21457
1982-10-01,1.72065
1983-01-01,0.80321
1983-04-01,1.00000
1983-07-01,2.00000
1983-10-01,1.79104
1984-01-01,3.48606
1984-04-01,2.97030
1984-07-01,1.37255
1984-10-01,1.17302
1985-01-01,-0.76997
1985-04-01,-0.67308
1985-07-01,-1.25725
1985-10-01,0.09662
1986-01-01,-2.71581
1986-04-01,-3.29138
1986-07-01,-2.64447
1986-10-01,-3.76448
1987-01-01,0.89731
1987-04-01,3.10310
1987-07-01,4.32596
1987-10-01,4.51354
1988-01-01,3.65613
1988-04-01,4.07767
1988-07-01,4.24301
1988-10-01,4.60653
1989-01-01,6.29171
1989-04-01,5.31716
1989-07-01,3.97780
1989-10-01,3.66972
1990-01-01,2.42152
1990-04-01,1.24004
1990-07-01,5.33808
1990-10-01,5.04425
1991-01-01,1.75131
1991-04-01,1.83727
1991-07-01,-1.94257
1991-10-01,-2.35889
1992-01-01,-0.08606
1992-04-01,1.37457
1992-07-01,1.63652
1992-10-01,1.46678
1993-01-01,2.23945
1993-04-01,1.27119
1993-07-01,0.59322
1993-10-01,0.85034
1994-01-01,0.84246
1994-04-01,0.83682
1994-07-01,1.93766
1994-10-01,2.78246
1995-01-01,3.50877
1995-04-01,3.98340
1995-07-01,3.47107
1995-10-01,3.11731
1996-01-01,2.01776
1996-04-01,2.15483
1996-07-01,2.39617
1996-10-01,2.70485
1997-01-01,0.71203
1997-04-01,-0.62500
1997-07-01,-0.54602
1997-10-01,-1.78156
1998-01-01,-2.04242
1998-04-01,-1.88679
1998-07-01,-2.90196
1998-10-01,-3.15457
1999-01-01,-1.68404
1999-04-01,0.32051
1999-07-01,3.39257
1999-10-01,4.07166
2000-01-01,6.68842
2000-04-01,6.86901
2000-07-01,5.23438
2000-10-01,6.57277
2001-01-01,3.89908
2001-04-01,1.27055
2001-07-01,-1.03935
2001-10-01,-5.94714
2002-01-01,-4.48859
2002-04-01,-3.39483
2002-07-01,-0.75019
2002-10-01,3.74707
2003-01-01,8.78274
2003-04-01,5.42399
2003-07-01,4.68632
2003-10-01,4.96614
2004-01-01,1.34561
2004-04-01,6.66667
2004-07-01,6.64260
2004-10-01,7.67025
2005-01-01,7.40741
2005-04-01,4.82337
2005-07-01,9.81720
2005-10-01,8.52197
2006-01-01,5.53025
2006-04-01,7.64744
2006-07-01,1.97287
2006-10-01,1.59509
2007-01-01,4.37731
2007-04-01,4.63576
2007-07-01,4.89722
2007-10-01,7.85024
2008-01-01,10.98641
2008-04-01,15.36249
2008-07-01,13.48703
2008-10-01,-4.31131
2009-01-01,-10.53752
2009-04-01,-13.16708
2009-07-01,-11.57948
2009-10-01,4.21299
2010-01-01,9.04224
2010-04-01,5.39920
2010-07-01,6.20333
2010-10-01,6.51319
2011-01-01,8.67430
2011-04-01,11.11717
2011-07-01,10.16766
2011-10-01,5.32420
2012-01-01,2.51004
2012-04-01,-2.01079
2012-07-01,0.34364
2012-10-01,0.85085
2013-01-01,-0.09794
2013-04-01,2.25225
2013-07-01,-0.24462
2013-10-01,0.24814
2014-01-01,1.47059
2014-04-01,1.95791
2014-07-01,1.22609
2014-10-01,-2.47525
2015-01-01,-7.48792
2015-04-01,-6.48104
2015-07-01,-8.38178
2015-10-01,-6.85279
2016-01-01,-4.90862
2016-04-01,-3.69610
2016-07-01,-1.16341
2016-10-01,2.56131
2017-01-01,5.16200
