DATE,PPIACO_PC1
2000-07-01,5.23438
2000-10-01,6.57277
2001-01-01,3.89908
2001-04-01,1.27055
2001-07-01,-1.03935
2001-10-01,-5.94714
2002-01-01,-4.48859
2002-04-01,-3.39483
2002-07-01,-0.75019
2002-10-01,3.74707
2003-01-01,8.78274
2003-04-01,5.42399
2003-07-01,4.68632
2003-10-01,4.96614
2004-01-01,1.34561
2004-04-01,6.66667
2004-07-01,6.64260
2004-10-01,7.67025
2005-01-01,7.40741
2005-04-01,4.82337
2005-07-01,9.81720
2005-10-01,8.52197
2006-01-01,5.53025
2006-04-01,7.64744
2006-07-01,1.97287
2006-10-01,1.59509
2007-01-01,4.37731
2007-04-01,4.63576
2007-07-01,4.89722
2007-10-01,7.85024
2008-01-01,10.98641
2008-04-01,15.36249
2008-07-01,13.48703
2008-10-01,-4.31131
2009-01-01,-10.53752
2009-04-01,-13.16708
2009-07-01,-11.57948
2009-10-01,4.21299
2010-01-01,9.04224
2010-04-01,5.39920
2010-07-01,6.20333
2010-10-01,6.51319
2011-01-01,8.67430
2011-04-01,11.11717
2011-07-01,10.16766
2011-10-01,5.32420
2012-01-01,2.51004
2012-04-01,-2.01079
2012-07-01,0.34364
2012-10-01,0.85085
2013-01-01,-0.09794
2013-04-01,2.25225
2013-07-01,-0.24462
2013-10-01,0.24814
2014-01-01,1.47059
2014-04-01,1.95791
2014-07-01,1.22609
2014-10-01,-2.47525
2015-01-01,-7.48792
2015-04-01,-6.48104
2015-07-01,-8.38178
2015-10-01,-6.85279
2016-01-01,-4.90862
2016-04-01,-3.69610
2016-07-01,-1.16341
2016-10-01,2.56131
2017-01-01,5.16200
2017-04-01,3.19829
2017-07-01,4.22686
2017-10-01,4.30393
2018-01-01,4.07311
2018-04-01,5.47521
2018-07-01,4.51745
2018-10-01,2.39429
2019-01-01,0.75263
2019-04-01,-1.90989
2019-07-01,-2.55403
2019-10-01,-0.99502
2020-01-01,-3.83466
2020-04-01,-4.54319
2020-07-01,-1.46169
2020-10-01,0.75377
2021-01-01,11.34127
2021-04-01,19.71757
2021-07-01,20.55141
2021-10-01,20.36808
2022-01-01,20.64047
