DATE,PCUOMFGOMFG_PC1
2000-07-01,3.85505
2000-10-01,2.91188
2001-01-01,1.20391
2001-04-01,1.19225
2001-07-01,0.66815
2001-10-01,-2.01042
2002-01-01,-1.26394
2002-04-01,-1.62003
2002-07-01,-0.44248
2002-10-01,1.82371
2003-01-01,4.44277
2003-04-01,2.02096
2003-07-01,1.55556
2003-10-01,2.76119
2004-01-01,1.15357
2004-04-01,4.84226
2004-07-01,5.17870
2004-10-01,5.30138
2005-01-01,6.12972
2005-04-01,4.68859
2005-07-01,6.93481
2005-10-01,5.37931
2006-01-01,4.09671
2006-04-01,6.61765
2006-07-01,1.68612
2006-10-01,2.68325
2007-01-01,3.29032
2007-04-01,2.63323
2007-07-01,4.40051
2007-10-01,6.37349
2008-01-01,8.30731
2008-04-01,11.17899
2008-07-01,11.72877
2008-10-01,-1.67765
2009-01-01,-6.05536
2009-04-01,-7.47253
2009-07-01,-7.81848
2009-10-01,4.08288
2010-01-01,6.75261
2010-04-01,3.80048
2010-07-01,4.09253
2010-10-01,4.85948
2011-01-01,7.70558
2011-04-01,9.32494
2011-07-01,9.11681
2011-10-01,5.86265
2012-01-01,3.73732
2012-04-01,0.31397
2012-07-01,2.03655
2012-10-01,1.16034
2013-01-01,0.10293
2013-04-01,1.14763
2013-07-01,-0.56295
2013-10-01,0.72993
2014-01-01,0.87404
2014-04-01,1.70191
2014-07-01,1.28667
2014-10-01,-2.12215
2015-01-01,-5.09684
2015-04-01,-4.20892
2015-07-01,-6.35163
2015-10-01,-4.38921
2016-01-01,-3.70569
2016-04-01,-2.80572
2016-07-01,-0.70537
2016-10-01,1.71460
2017-01-01,4.12716
2017-04-01,2.17865
2017-07-01,3.60656
2017-10-01,4.02393
2018-01-01,3.91002
2018-04-01,5.75693
2018-07-01,4.90506
2018-10-01,2.03868
2019-01-01,1.75258
2019-04-01,-0.70565
2019-07-01,-1.50830
2019-10-01,0.61475
2020-01-01,-2.58359
2020-04-01,-3.45178
2020-07-01,-1.53139
2020-10-01,0.15275
2021-01-01,8.11232
2021-04-01,14.56362
2021-07-01,15.01763
2021-10-01,15.13472
2022-01-01,17.92737
