DATE,PRS85006091_NBD20000701
2000-07-01,100.00000
2000-10-01,83.33333
2001-01-01,80.00000
2001-04-01,73.33333
2001-07-01,93.33333
2001-10-01,103.33333
2002-01-01,193.33333
2002-04-01,140.00000
2002-07-01,143.33333
2002-10-01,96.66667
2003-01-01,60.00000
2003-04-01,96.66667
2003-07-01,146.66667
2003-10-01,183.33333
2004-01-01,143.33333
2004-04-01,130.00000
2004-07-01,70.00000
2004-10-01,56.66667
2005-01-01,103.33333
2005-04-01,63.33333
2005-07-01,70.00000
2005-10-01,56.66667
2006-01-01,43.33333
2006-04-01,43.33333
2006-07-01,13.33333
2006-10-01,36.66667
2007-01-01,20.00000
2007-04-01,36.66667
2007-07-01,80.00000
2007-10-01,80.00000
2008-01-01,46.66667
2008-04-01,73.33333
2008-07-01,50.00000
2008-10-01,3.33333
2009-01-01,56.66667
2009-04-01,90.00000
2009-07-01,126.66667
2009-10-01,200.00000
2010-01-01,186.66667
2010-04-01,120.00000
2010-07-01,93.33333
2010-10-01,56.66667
2011-01-01,13.33333
2011-04-01,13.33333
2011-07-01,-16.66667
2011-10-01,-6.66667
2012-01-01,30.00000
2012-04-01,40.00000
2012-07-01,50.00000
2012-10-01,13.33333
2013-01-01,16.66667
2013-04-01,-6.66667
2013-07-01,10.00000
2013-10-01,46.66667
2014-01-01,-6.66667
2014-04-01,36.66667
2014-07-01,50.00000
2014-10-01,6.66667
2015-01-01,70.00000
2015-04-01,46.66667
2015-07-01,16.66667
2015-10-01,23.33333
2016-01-01,6.66667
2016-04-01,-6.66667
2016-07-01,6.66667
2016-10-01,40.00000
2017-01-01,30.00000
2017-04-01,30.00000
2017-07-01,43.33333
2017-10-01,40.00000
2018-01-01,50.00000
2018-04-01,66.66667
2018-07-01,50.00000
2018-10-01,33.33333
2019-01-01,53.33333
2019-04-01,70.00000
2019-07-01,70.00000
2019-10-01,80.00000
2020-01-01,30.00000
2020-04-01,83.33333
2020-07-01,123.33333
2020-10-01,90.00000
2021-01-01,130.00000
2021-04-01,73.33333
2021-07-01,-13.33333
2021-10-01,63.33333
2022-01-01,-20.00000
