DATE,DGS10
2000-07-01,5.80
2000-10-01,5.12
2001-01-01,4.93
2001-04-01,5.42
2001-07-01,4.60
2001-10-01,5.07
2002-01-01,5.42
2002-04-01,4.86
2002-07-01,3.63
2002-10-01,3.83
2003-01-01,3.83
2003-04-01,3.54
2003-07-01,3.96
2003-10-01,4.27
2004-01-01,3.86
2004-04-01,4.62
2004-07-01,4.14
2004-10-01,4.24
2005-01-01,4.50
2005-04-01,3.94
2005-07-01,4.34
2005-10-01,4.39
2006-01-01,4.86
2006-04-01,5.15
2006-07-01,4.64
2006-10-01,4.71
2007-01-01,4.65
2007-04-01,5.03
2007-07-01,4.59
2007-10-01,4.04
2008-01-01,3.45
2008-04-01,3.99
2008-07-01,3.85
2008-10-01,2.25
2009-01-01,2.71
2009-04-01,3.53
2009-07-01,3.31
2009-10-01,3.85
2010-01-01,3.84
2010-04-01,2.97
2010-07-01,2.53
2010-10-01,3.30
2011-01-01,3.47
2011-04-01,3.18
2011-07-01,1.92
2011-10-01,1.89
2012-01-01,2.23
2012-04-01,1.67
2012-07-01,1.65
2012-10-01,1.78
2013-01-01,1.87
2013-04-01,2.52
2013-07-01,2.64
2013-10-01,3.04
2014-01-01,2.73
2014-04-01,2.53
2014-07-01,2.52
2014-10-01,2.17
2015-01-01,1.94
2015-04-01,2.35
2015-07-01,2.06
2015-10-01,2.27
2016-01-01,1.78
2016-04-01,1.49
2016-07-01,1.60
2016-10-01,2.45
2017-01-01,2.40
2017-04-01,2.31
2017-07-01,2.33
2017-10-01,2.40
2018-01-01,2.74
2018-04-01,2.85
2018-07-01,3.05
2018-10-01,2.69
2019-01-01,2.41
2019-04-01,2.00
2019-07-01,1.68
2019-10-01,1.92
2020-01-01,0.70
2020-04-01,0.66
2020-07-01,0.69
2020-10-01,0.93
2021-01-01,1.74
2021-04-01,1.45
2021-07-01,1.52
2021-10-01,1.52
2022-01-01,2.32
