DATE,UNRATE
2000-07-01,3.9
2000-10-01,3.9
2001-01-01,4.3
2001-04-01,4.5
2001-07-01,5.0
2001-10-01,5.7
2002-01-01,5.7
2002-04-01,5.8
2002-07-01,5.7
2002-10-01,6.0
2003-01-01,5.9
2003-04-01,6.3
2003-07-01,6.1
2003-10-01,5.7
2004-01-01,5.8
2004-04-01,5.6
2004-07-01,5.4
2004-10-01,5.4
2005-01-01,5.2
2005-04-01,5.0
2005-07-01,5.0
2005-10-01,4.9
2006-01-01,4.7
2006-04-01,4.6
2006-07-01,4.5
2006-10-01,4.4
2007-01-01,4.4
2007-04-01,4.6
2007-07-01,4.7
2007-10-01,5.0
2008-01-01,5.1
2008-04-01,5.6
2008-07-01,6.1
2008-10-01,7.3
2009-01-01,8.7
2009-04-01,9.5
2009-07-01,9.8
2009-10-01,9.9
2010-01-01,9.9
2010-04-01,9.4
2010-07-01,9.5
2010-10-01,9.3
2011-01-01,9.0
2011-04-01,9.1
2011-07-01,9.0
2011-10-01,8.5
2012-01-01,8.2
2012-04-01,8.2
2012-07-01,7.8
2012-10-01,7.9
2013-01-01,7.5
2013-04-01,7.5
2013-07-01,7.2
2013-10-01,6.7
2014-01-01,6.7
2014-04-01,6.1
2014-07-01,5.9
2014-10-01,5.6
2015-01-01,5.4
2015-04-01,5.3
2015-07-01,5.0
2015-10-01,5.0
2016-01-01,5.0
2016-04-01,4.9
2016-07-01,5.0
2016-10-01,4.7
2017-01-01,4.4
2017-04-01,4.3
2017-07-01,4.3
2017-10-01,4.1
2018-01-01,4.0
2018-04-01,4.0
2018-07-01,3.7
2018-10-01,3.9
2019-01-01,3.8
2019-04-01,3.6
2019-07-01,3.5
2019-10-01,3.6
2020-01-01,4.4
2020-04-01,11.0
2020-07-01,7.9
2020-10-01,6.7
2021-01-01,6.0
2021-04-01,5.9
2021-07-01,4.7
2021-10-01,3.9
2022-01-01,3.6
